CompletionTermDesc,Emplid,Crse ID,Term Descrshort,Subject,Catalog Nbr,Class Section,Session Descrshort,Crse Component Descrshort,Crse Descr,Unt Earned - Credits,Crse Grade Off - Grade Earned,Course Code,Outside UMSI
Winter 2024,12145979,020934,WN 2024,SI,649,002,Regular,Lecture,Info Visualization,3.00,A,SI 649,No
Winter 2024,12145979,039979,WN 2022,SI,623,001,Regular,Seminar,Res Meth Info Prof,3.00,A+,SI 623,No
Winter 2024,12145979,039989,WN 2024,SURVMETH,701,001,Regular,Seminar,An Cmplx Sam Srv Dat,3.00,A+,SURVMETH 701,Yes
Winter 2024,12145979,039990,WN 2024,SURVMETH,670,101,Regular,Seminar,Design Seminar I,3.00,A,SURVMETH 670,Yes
Winter 2024,12145979,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,12145979,041242,WN 2024,SURVMETH,721,001,Regular,Seminar,Tot Surv Err Qual II,2.00,A,SURVMETH 721,Yes
Winter 2024,12145979,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A+,SI 501,No
Winter 2024,12145979,044772,FA 2021,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2024,12145979,046054,WN 2024,SURVMETH,745,101,Regular,Lecture,Practical Tools,3.00,A,SURVMETH 745,Yes
Winter 2024,12145979,047246,FA 2021,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,12145979,047695,FA 2021,ELI,592,001,Regular,Lecture,Topics in EAP,1.00,S,ELI 592,Yes
Winter 2024,12145979,047901,WN 2024,SI,699,401,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2024,12145979,048129,WN 2022,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,12145979,049601,WN 2022,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,12283750,001459,FA 2023,SI,690,460,Regular,Seminar,Intern/Field Exper,2.00,S,SI 690,No
Winter 2024,12283750,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,12283750,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,12283750,021400,FA 2023,SI,520,001,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2024,12283750,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,12283750,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,12283750,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,12283750,043863,FA 2023,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A+,SI 612,No
Winter 2024,12283750,044772,FA 2022,SI,582,002,Regular,Lecture,Intro Interac Design,3.00,A-,SI 582,No
Winter 2024,12283750,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A-,SI 506,No
Winter 2024,12283750,047901,WN 2024,SI,699,301,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2024,12283750,048147,WN 2023,BA,657,001,Regular,Laboratory,LBLE,3.00,A-,BA 657,Yes
Winter 2024,12283750,048488,FA 2023,SI,559,003,Regular,Lecture,AR/VR Intro,3.00,A+,SI 559,No
Winter 2024,12283750,050031,FA 2023,SW,596,342,Regular,Ind Study,Ind Stds Social Work,2.00,A,SW 596,Yes
Winter 2024,12283750,050136,WN 2023,UARTS,560,119,Regular,Laboratory,Grad ArtsEng Proj,2.00,A,UARTS 560,Yes
Winter 2024,12283750,050136,FA 2023,UARTS,560,119,Regular,Laboratory,Grad ArtsEng Proj,2.00,A,UARTS 560,Yes
Winter 2024,12492064,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,12492064,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,12492064,021391,WN 2024,SI,511,151,Regular,Lecture,Special Topics,1.50,A+,SI 511,No
Winter 2024,12492064,021400,WN 2023,SI,520,002,Regular,Laboratory,Graphic Design,3.00,A,SI 520,No
Winter 2024,12492064,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,12492064,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,12492064,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,12492064,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,12492064,043863,FA 2023,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A+,SI 612,No
Winter 2024,12492064,044772,FA 2022,SI,582,002,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,12492064,045393,FA 2023,SI,552,001,Regular,Lecture,Accessibility Intro,3.00,A,SI 552,No
Winter 2024,12492064,046306,FA 2023,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,B+,SI 616,No
Winter 2024,12492064,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,12492064,047901,WN 2024,SI,699,001,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,12492064,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,12492064,048488,FA 2023,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A-,SI 559,No
Winter 2024,12546249,009732,FA 2023,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,A,SI 650,No
Winter 2024,12546249,016607,FA 2022,SI,544,001,Regular,Lecture,Intr Stat&Data Analy,3.00,A+,SI 544,No
Winter 2024,12546249,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,12546249,041934,FA 2023,SI,608,001,Regular,Lecture,Networks,3.00,A+,SI 608,No
Winter 2024,12546249,042091,WN 2023,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A+,SI 618,No
Winter 2024,12546249,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,12546249,045930,FA 2023,SI,671,001,Regular,Lecture,Data Mining,3.00,B,SI 671,No
Winter 2024,12546249,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,12546249,047640,WN 2023,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2024,12546249,047901,WN 2024,SI,699,305,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,12546249,049601,WN 2023,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,12546249,050164,FA 2022,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A,SI 504,No
Winter 2024,12546249,050600,FA 2022,SM,542,001,Regular,Lecture,Sports Real Est Devp,3.00,A,SM 542,Yes
Winter 2024,12546249,050663,WN 2023,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A+,SI 568,No
Winter 2024,12546249,050957,WN 2024,SM,560,001,Regular,Lecture,Intro Stats SM,3.00,A,SM 560,Yes
Winter 2024,12546249,050983,WN 2023,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,W,SI 602,No
Winter 2024,12546249,050983,WN 2024,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,B+,SI 602,No
Winter 2024,12986025,001459,FA 2023,SI,690,460,Regular,Seminar,Intern/Field Exper,3.00,S,SI 690,No
Winter 2024,12986025,009732,FA 2023,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,A,SI 650,No
Winter 2024,12986025,016607,FA 2022,SI,544,001,Regular,Lecture,Intr Stat&Data Analy,3.00,A,SI 544,No
Winter 2024,12986025,021050,WN 2023,SI,691,072,Regular,Ind Study,Independent Study,3.00,A,SI 691,No
Winter 2024,12986025,021050,WN 2024,SI,691,079,Regular,Ind Study,Independent Study,3.00,A,SI 691,No
Winter 2024,12986025,039178,FA 2022,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,12986025,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,12986025,041626,WN 2024,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2024,12986025,042091,WN 2023,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A+,SI 618,No
Winter 2024,12986025,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A+,SI 501,No
Winter 2024,12986025,045930,FA 2023,SI,671,001,Regular,Lecture,Data Mining,3.00,A,SI 671,No
Winter 2024,12986025,047901,WN 2024,SI,699,205,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,12986025,050159,FA 2022,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A,SI 579,No
Winter 2024,12986025,050663,WN 2023,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A+,SI 568,No
Winter 2024,12986025,050983,WN 2023,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,A-,SI 602,No
Winter 2024,13140458,001393,FA 2021,EECS,598,002,Regular,Lecture,Special Topics,3.00,A-,EECS 598,Yes
Winter 2024,13140458,001459,WN 2023,SI,690,001,Regular,Seminar,Intern/Field Exper,1.00,S,SI 690,No
Winter 2024,13140458,014793,WN 2022,ELI,521,003,Regular,Lecture,Acad Writg I,1.00,S,ELI 521,Yes
Winter 2024,13140458,021050,FA 2022,SI,691,114,Regular,Ind Study,Independent Study,3.00,A,SI 691,No
Winter 2024,13140458,021391,WN 2022,SI,511,630,Regular,Laboratory,Special Topics,1.00,W,SI 511,No
Winter 2024,13140458,039081,WN 2023,SI,529,001,Regular,Lecture,Online Communities,3.00,A,SI 529,No
Winter 2024,13140458,039178,FA 2021,SI,539,001,Regular,Lecture,Web Design,3.00,B+,SI 539,No
Winter 2024,13140458,039979,WN 2022,SI,623,001,Regular,Seminar,Res Meth Info Prof,3.00,A,SI 623,No
Winter 2024,13140458,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,5.00,S,SI 681,No
Winter 2024,13140458,042091,FA 2021,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,W,SI 618,No
Winter 2024,13140458,042091,WN 2022,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A,SI 618,No
Winter 2024,13140458,044772,FA 2021,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,13140458,045930,FA 2022,SI,671,001,Regular,Lecture,Data Mining,3.00,A-,SI 671,No
Winter 2024,13140458,047073,WN 2022,TO,628,001,Scnd 7 Wk,Recitation,Big Data Analytics,2.25,A,TO 628,Yes
Winter 2024,13140458,047637,WN 2023,LHS,712,001,Regular,Lecture,NLP on Health Data,3.00,A-,LHS 712,Yes
Winter 2024,13140458,047640,FA 2021,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2024,13140458,048268,WN 2022,SI,630,001,Regular,Lecture,NLP Algorithm People,3.00,W,SI 630,No
Winter 2024,13140458,048500,FA 2022,SI,670,001,Regular,Lecture,Appld Machine Learng,3.00,B+,SI 670,No
Winter 2024,13140458,049040,WN 2023,SI,698,069,Regular,Seminar,Master's Thesis 2,3.00,A,SI 698,No
Winter 2024,13140458,049365,FA 2022,SI,697,069,Regular,Ind Study,Master's Thesis 1,3.00,S,SI 697,No
Winter 2024,13140458,049601,WN 2023,SI,564,101,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,14009146,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,14009146,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,14009146,020934,WN 2023,SI,649,002,Regular,Lecture,Info Visualization,3.00,A-,SI 649,No
Winter 2024,14009146,021391,WN 2024,SI,511,151,Regular,Lecture,Special Topics,1.50,A+,SI 511,No
Winter 2024,14009146,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,14009146,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,14009146,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,14009146,041855,FA 2023,SI,631,001,Regular,Lecture,Agile Softwar Dev,1.50,A,SI 631,No
Winter 2024,14009146,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,14009146,044772,FA 2022,SI,582,002,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,14009146,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A,SI 684,No
Winter 2024,14009146,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,14009146,047901,WN 2024,SI,699,203,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,14009146,048487,FA 2023,SI,669,001,Regular,Lecture,Dev Mobile Exp,3.00,A,SI 669,No
Winter 2024,14009146,048488,FA 2023,SI,559,003,Regular,Lecture,AR/VR Intro,3.00,A,SI 559,No
Winter 2024,14009146,050159,WN 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,B+,SI 579,No
Winter 2024,14233300,001459,WN 2024,SI,690,001,Regular,Seminar,Intern/Field Exper,2.00,S,SI 690,No
Winter 2024,14233300,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,14233300,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,14233300,021400,FA 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2024,14233300,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A+,SI 539,No
Winter 2024,14233300,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,5.00,S,SI 681,No
Winter 2024,14233300,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,14233300,044772,FA 2022,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,14233300,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A+,SI 684,No
Winter 2024,14233300,047228,FA 2023,ENTR,500,002,Regular,Lecture,Intro to Innovation,3.00,A,ENTR 500,Yes
Winter 2024,14233300,047304,WN 2023,ENTR,550,002,Regular,Lecture,Interpersonal Skills,3.00,A,ENTR 550,Yes
Winter 2024,14233300,047901,WN 2024,SI,699,003,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,14233300,048129,WN 2023,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,14233300,048421,FA 2023,ENTR,560,002,Regular,Lecture,Proj Mgmt Consulting,3.00,A,ENTR 560,Yes
Winter 2024,14233300,048487,FA 2023,SI,669,001,Regular,Lecture,Dev Mobile Exp,3.00,A+,SI 669,No
Winter 2024,14233300,050159,WN 2023,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A,SI 579,No
Winter 2024,14312069,012457,FA 2023,EDUC,602,001,Regular,Seminar,Vidgms Lrng Sch Dsgn,3.00,A,EDUC 602,Yes
Winter 2024,14312069,016607,FA 2022,SI,544,001,Regular,Lecture,Intr Stat&Data Analy,3.00,A,SI 544,No
Winter 2024,14312069,020934,FA 2023,SI,649,001,Regular,Lecture,Info Visualization,3.00,A,SI 649,No
Winter 2024,14312069,039178,FA 2022,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,14312069,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,14312069,041855,FA 2023,SI,631,001,Regular,Lecture,Agile Softwar Dev,1.50,A,SI 631,No
Winter 2024,14312069,041934,FA 2023,SI,608,001,Regular,Lecture,Networks,3.00,B+,SI 608,No
Winter 2024,14312069,042091,WN 2023,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A+,SI 618,No
Winter 2024,14312069,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,14312069,043574,FA 2022,SW,503,001,Regular,Lecture,Foundation Topics SW,1.00,A,SW 503,Yes
Winter 2024,14312069,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,14312069,047640,WN 2023,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2024,14312069,047842,FA 2022,ARTSADMN,521,001,Regular,Lecture,DIY Marketing,1.00,A,ARTSADMN 521,Yes
Winter 2024,14312069,047901,WN 2024,SI,699,005,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2024,14312069,048129,FA 2022,SI,505,001,Scnd 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,14312069,048500,FA 2023,SI,670,001,Regular,Lecture,Appld Machine Learng,3.00,B-,SI 670,No
Winter 2024,14312069,048513,FA 2022,WELLNESS,520,001,Regular,Recitation,Alexander Tech Intro,1.00,A,WELLNESS 520,Yes
Winter 2024,14312069,049601,WN 2023,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2024,14312069,050164,FA 2022,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A,SI 504,No
Winter 2024,14312069,050663,WN 2023,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A-,SI 568,No
Winter 2024,14312069,050983,WN 2023,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,D+,SI 602,No
Winter 2024,14312069,050983,WN 2024,SI,602,001,Regular,Lecture,Math for ApplDataSci,3.00,C,SI 602,No
Winter 2024,14727807,016607,FA 2022,SI,544,101,Regular,Lecture,Intr Stat&Data Analy,3.00,A+,SI 544,No
Winter 2024,14727807,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,14727807,019903,FA 2023,TO,548,001,Regular,Recitation,Integ Pro Dev,3.00,A,TO 548,Yes
Winter 2024,14727807,020379,FA 2023,IOE,548,001,Regular,Lecture,Int Prod Dev,3.00,A,IOE 548,Yes
Winter 2024,14727807,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,14727807,021391,WN 2024,SI,511,151,Regular,Lecture,Special Topics,1.50,A+,SI 511,No
Winter 2024,14727807,021400,FA 2023,SI,520,001,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2024,14727807,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,14727807,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A+,SI 539,No
Winter 2024,14727807,039979,WN 2023,SI,623,001,Regular,Seminar,Res Meth Info Prof,3.00,A+,SI 623,No
Winter 2024,14727807,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A+,SI 501,No
Winter 2024,14727807,043863,FA 2023,SI,612,002,Regular,Lecture,Pervasv Interact Des,3.00,A+,SI 612,No
Winter 2024,14727807,044772,FA 2022,SI,582,004,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,14727807,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A+,SI 684,No
Winter 2024,14727807,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,14727807,047901,WN 2024,SI,699,301,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2024,14727807,048129,WN 2023,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,14727807,048488,FA 2023,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A+,SI 559,No
Winter 2024,14727807,050164,WN 2023,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A,SI 504,No
Winter 2024,14727807,051454,WN 2024,SI,594,001,Regular,Lecture,Auto UX,3.00,A,SI 594,No
Winter 2024,14845650,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,14845650,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,14845650,021391,WN 2024,SI,511,073,Regular,Lecture,Special Topics,3.00,A,SI 511,No
Winter 2024,14845650,021400,WN 2023,SI,520,004,Regular,Laboratory,Graphic Design,3.00,A-,SI 520,No
Winter 2024,14845650,039081,FA 2023,SI,529,001,Regular,Lecture,Online Communities,3.00,A,SI 529,No
Winter 2024,14845650,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,B+,SI 539,No
Winter 2024,14845650,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,14845650,043210,FA 2023,SI,534,001,Regular,Lecture,Theories Soc Influen,3.00,A,SI 534,No
Winter 2024,14845650,043863,FA 2023,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A+,SI 612,No
Winter 2024,14845650,044772,FA 2022,SI,582,005,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2024,14845650,045393,WN 2024,SI,552,001,Regular,Lecture,Accessibility Intro,3.00,A,SI 552,No
Winter 2024,14845650,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A+,SI 684,No
Winter 2024,14845650,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,W,SI 506,No
Winter 2024,14845650,047246,WN 2023,SI,506,001,Regular,Lecture,Programming I,3.00,C-,SI 506,No
Winter 2024,14845650,047901,WN 2024,SI,699,501,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2024,14845650,048421,WN 2024,ENTR,560,002,Regular,Lecture,Proj Mgmt Consulting,3.00,A,ENTR 560,Yes
Winter 2024,14845650,051454,WN 2024,SI,594,001,Regular,Lecture,Auto UX,3.00,A,SI 594,No
Winter 2024,14879185,016607,FA 2023,SI,544,001,Regular,Lecture,Intr Stat&Data Analy,3.00,A+,SI 544,No
Winter 2024,14879185,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,14879185,020401,WN 2023,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,14879185,021400,WN 2023,SI,520,003,Regular,Laboratory,Graphic Design,3.00,B+,SI 520,No
Winter 2024,14879185,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2024,14879185,039081,FA 2023,SI,529,001,Regular,Lecture,Online Communities,3.00,A,SI 529,No
Winter 2024,14879185,039178,FA 2022,SI,539,001,Regular,Lecture,Web Design,3.00,B,SI 539,No
Winter 2024,14879185,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,14879185,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,14879185,044772,FA 2022,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2024,14879185,045393,WN 2024,SI,552,001,Regular,Lecture,Accessibility Intro,3.00,A,SI 552,No
Winter 2024,14879185,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A,SI 684,No
Winter 2024,14879185,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,14879185,047901,WN 2024,SI,699,201,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2024,14879185,048129,WN 2023,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,14879185,050164,WN 2023,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A-,SI 504,No
Winter 2024,15408298,012456,FA 2022,SI,549,001,Regular,Seminar,Trfrm Lrng Tchg Tech,3.00,S,SI 549,No
Winter 2024,15408298,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A+,SI 588,No
Winter 2024,15408298,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,15408298,021050,FA 2022,SI,691,117,Regular,Ind Study,Independent Study,3.00,A+,SI 691,No
Winter 2024,15408298,039178,WN 2024,SI,539,001,Regular,Lecture,Web Design,3.00,A+,SI 539,No
Winter 2024,15408298,039979,WN 2023,SI,623,001,Regular,Seminar,Res Meth Info Prof,3.00,A+,SI 623,No
Winter 2024,15408298,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,4.00,S,SI 681,No
Winter 2024,15408298,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A+,SI 501,No
Winter 2024,15408298,044772,WN 2023,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2024,15408298,045393,FA 2022,SI,552,001,Regular,Lecture,Accessibility Intro,3.00,A,SI 552,No
Winter 2024,15408298,045732,WN 2023,SI,554,001,Regular,Lecture,Consumer Hlth Inform,3.00,A+,SI 554,No
Winter 2024,15408298,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A+,SI 684,No
Winter 2024,15408298,048129,WN 2023,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2024,15408298,048488,WN 2024,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A,SI 559,No
Winter 2024,15408298,049040,WN 2024,SI,698,003,Regular,Seminar,Master's Thesis 2,3.00,A,SI 698,No
Winter 2024,15408298,049365,FA 2023,SI,697,003,Regular,Ind Study,Master's Thesis 1,3.00,S,SI 697,No
Winter 2024,15720118,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2024,15720118,020401,WN 2023,SI,622,002,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2024,15720118,039178,WN 2023,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2024,15720118,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2024,15720118,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2024,15720118,044772,FA 2022,SI,582,004,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2024,15720118,045687,WN 2023,SI,538,001,Regular,Seminar,Citizen Inter Design,4.00,A,SI 538,No
Winter 2024,15720118,045771,FA 2023,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A+,SI 684,No
Winter 2024,15720118,046306,WN 2023,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,A-,SI 616,No
Winter 2024,15720118,047246,FA 2022,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2024,15720118,047901,WN 2024,SI,699,301,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
