CompletionTermDesc,Emplid,Crse ID,Term Descrshort,Subject,Catalog Nbr,Class Section,Session Descrshort,Crse Component Descrshort,Crse Descr,Unt Earned - Credits,Crse Grade Off - Grade Earned,Course Code,Outside UMSI
Winter 2023,00496232,017281,FA 2021,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,W,SI 588,No
Winter 2023,00496232,017281,FA 2022,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A-,SI 588,No
Winter 2023,00496232,020401,WN 2022,SI,622,003,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2023,00496232,021400,WN 2022,SI,520,002,Regular,Lecture,Graphic Design,3.00,A-,SI 520,No
Winter 2023,00496232,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2023,00496232,039178,FA 2021,SI,539,001,Regular,Lecture,Web Design,3.00,A-,SI 539,No
Winter 2023,00496232,040667,WN 2023,SI,681,001,Regular,Seminar,Intern/Field Seminar,4.00,S,SI 681,No
Winter 2023,00496232,042104,FA 2021,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,00496232,043863,WN 2022,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A-,SI 612,No
Winter 2023,00496232,044772,FA 2021,SI,582,003,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2023,00496232,044825,FA 2023,EPID,530,003,Regular,Lecture,Public Health Comm,1.00,A,EPID 530,Yes
Winter 2023,00496232,045393,FA 2022,SI,552,001,Regular,Lecture,Accessibility Intro,3.00,B+,SI 552,No
Winter 2023,00496232,046306,FA 2022,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,A-,SI 616,No
Winter 2023,00496232,047228,WN 2022,ENTR,500,001,Regular,Lecture,Intro to Innovation,3.00,A,ENTR 500,Yes
Winter 2023,00496232,047234,WN 2023,ENTR,510,001,Regular,Lecture,Compensation,3.00,S,ENTR 510,Yes
Winter 2023,00496232,047901,WN 2023,SI,699,201,Regular,Lecture,MSI Mastery Courses,3.00,B+,SI 699,No
Winter 2023,00496232,048488,FA 2021,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A-,SI 559,No
Winter 2023,00496232,050510,FA 2022,EECS,593,001,Regular,Lecture,HCI,3.00,A-,EECS 593,Yes
Winter 2023,01034862,001459,FA 2022,SI,690,410,Regular,Seminar,Intern/Field Exper,3.00,S,SI 690,No
Winter 2023,01034862,017281,FA 2021,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2023,01034862,020401,WN 2022,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2023,01034862,021400,FA 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,B-,SI 520,No
Winter 2023,01034862,022099,WN 2022,SI,658,001,Regular,Lecture,Info Architecture,3.00,A+,SI 658,No
Winter 2023,01034862,039178,WN 2022,SI,539,001,Regular,Lecture,Web Design,3.00,B-,SI 539,No
Winter 2023,01034862,039979,WN 2023,SI,623,001,Regular,Seminar,Res Meth Info Prof,3.00,A,SI 623,No
Winter 2023,01034862,040405,FA 2022,SURVMETH,600,001,Regular,Seminar,Fund Surv Data Sci,3.00,A-,SURVMETH 600,Yes
Winter 2023,01034862,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,01034862,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,01034862,044772,FA 2021,SI,582,004,Regular,Lecture,Intro Interac Design,3.00,A-,SI 582,No
Winter 2023,01034862,047246,FA 2021,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2023,01034862,047901,WN 2023,SI,699,401,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2023,01034862,048129,WN 2022,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2023,01034862,049417,WN 2022,BA,670,001,Regular,Recitation,+Impact Studio,3.00,A,BA 670,Yes
Winter 2023,01034862,049779,FA 2022,SW,670,001,Regular,Lecture,Qual Method SJ Inq,3.00,A,SW 670,Yes
Winter 2023,01071228,017281,FA 2021,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2023,01071228,020401,WN 2022,SI,622,003,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2023,01071228,021400,FA 2021,SI,520,002,Regular,Lecture,Graphic Design,3.00,A-,SI 520,No
Winter 2023,01071228,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2023,01071228,039178,WN 2022,SI,539,001,Regular,Lecture,Web Design,3.00,A-,SI 539,No
Winter 2023,01071228,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,01071228,041855,FA 2022,SI,631,001,Regular,Lecture,Agile Softwar Dev,1.50,A,SI 631,No
Winter 2023,01071228,041935,WN 2022,SI,530,001,Regular,Lecture,Prin in Management,3.00,A,SI 530,No
Winter 2023,01071228,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,01071228,043863,FA 2022,SI,612,002,Regular,Lecture,Pervasv Interact Des,3.00,A,SI 612,No
Winter 2023,01071228,044772,FA 2021,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2023,01071228,045771,FA 2022,SI,684,001,Regular,Seminar,Design ConsHlth Tech,3.00,A,SI 684,No
Winter 2023,01071228,046306,FA 2022,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,A-,SI 616,No
Winter 2023,01071228,047246,FA 2021,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2023,01071228,047901,WN 2023,SI,699,401,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2023,01071228,048129,WN 2022,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2023,01304159,001393,WN 2023,EECS,598,008,Regular,Lecture,Special Topics,4.00,A-,EECS 598,Yes
