CompletionTermDesc,Emplid,Crse ID,Term Descrshort,Subject,Catalog Nbr,Class Section,Session Descrshort,Crse Component Descrshort,Crse Descr,Unt Earned - Credits,Crse Grade Off - Grade Earned,Course Code,Outside UMSI
Winter 2023,01304159,001459,WN 2023,SI,690,001,Regular,Seminar,Intern/Field Exper,3.00,S,SI 690,No
Winter 2023,01304159,016141,FA 2022,EECS,587,001,Regular,Lecture,Parallel Computing,4.00,A-,EECS 587,Yes
Winter 2023,01304159,016142,FA 2022,EECS,566,001,Regular,Lecture,Discrete Event Syst,3.00,A,EECS 566,Yes
Winter 2023,01304159,017276,FA 2022,EECS,571,001,Regular,Lecture,Pr R T Comp,4.00,B+,EECS 571,Yes
Winter 2023,01304159,017281,FA 2021,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2023,01304159,020401,WN 2022,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2023,01304159,021400,FA 2021,SI,520,002,Regular,Lecture,Graphic Design,3.00,A,SI 520,No
Winter 2023,01304159,039178,FA 2021,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2023,01304159,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,3.00,S,SI 681,No
Winter 2023,01304159,041626,WN 2022,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2023,01304159,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,01304159,042324,WN 2022,SI,639,001,Scnd 7 Wk,Lecture,Web Archiving,1.50,A-,SI 639,No
Winter 2023,01304159,043602,WN 2023,EECS,568,001,Regular,Lecture,Mobile Robotics,4.00,B+,EECS 568,Yes
Winter 2023,01304159,044772,FA 2021,SI,582,004,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2023,01304159,045917,FA 2022,EECS,473,001,Regular,Lecture,Adv Embedded Sys,4.00,A-,EECS 473,Yes
Winter 2023,01304159,047901,WN 2023,SI,699,003,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2023,01304159,048268,WN 2022,SI,630,001,Regular,Lecture,NLP Algorithm People,3.00,A+,SI 630,No
Winter 2023,01304159,048486,WN 2022,SI,659,001,Regular,Lecture,AR/VR Advanced,3.00,A+,SI 659,No
Winter 2023,01304159,050136,WN 2022,UARTS,560,104,Regular,Laboratory,Grad ArtsEng Proj,2.00,A,UARTS 560,Yes
Winter 2023,01304159,050136,FA 2022,UARTS,560,104,Regular,Laboratory,Grad ArtsEng Proj,2.00,A,UARTS 560,Yes
Winter 2023,01304159,050159,FA 2021,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A+,SI 579,No
Winter 2023,01546057,017281,FA 2021,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A+,SI 588,No
Winter 2023,01546057,017533,WN 2023,MO,512,002,First 7 Wk,Recitation,Bargain&Infl Skills,2.25,A,MO 512,Yes
Winter 2023,01546057,020401,WN 2022,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A+,SI 622,No
Winter 2023,01546057,021400,WN 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,B+,SI 520,No
Winter 2023,01546057,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2023,01546057,039178,WN 2022,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2023,01546057,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,01546057,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,01546057,043863,FA 2022,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A,SI 612,No
Winter 2023,01546057,044772,FA 2021,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2023,01546057,045393,FA 2022,SI,552,001,Regular,Lecture,Accessibility Intro,3.00,A,SI 552,No
Winter 2023,01546057,047246,FA 2021,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2023,01546057,047304,WN 2023,ENTR,550,002,Regular,Lecture,Interpersonal Skills,3.00,A,ENTR 550,Yes
Winter 2023,01546057,047901,FA 2022,SI,699,001,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2023,01546057,048421,WN 2022,ENTR,560,001,Regular,Lecture,Proj Mgmt Consulting,3.00,A+,ENTR 560,Yes
Winter 2023,01546057,048488,FA 2022,SI,559,001,Regular,Lecture,AR/VR Intro,3.00,A,SI 559,No
Winter 2023,01546057,050650,WN 2023,EDUC,618,001,Regular,Seminar,XR for Learning,1.00,A,EDUC 618,Yes
Winter 2023,02059126,009732,FA 2022,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,A+,SI 650,No
Winter 2023,02059126,021629,FA 2022,MKT,608,002,Regular,Recitation,Pricing Analy&Strat,3.00,A-,MKT 608,Yes
Winter 2023,02059126,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,02059126,041626,FA 2021,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2023,02059126,042091,FA 2021,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A,SI 618,No
Winter 2023,02059126,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,02059126,045930,FA 2022,SI,671,001,Regular,Lecture,Data Mining,3.00,A-,SI 671,No
Winter 2023,02059126,047640,FA 2021,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2023,02059126,047901,WN 2023,SI,699,305,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2023,02059126,048129,WN 2023,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2023,02059126,048268,WN 2022,SI,630,001,Regular,Lecture,NLP Algorithm People,3.00,A-,SI 630,No
Winter 2023,02059126,048500,FA 2022,SI,670,001,Regular,Lecture,Appld Machine Learng,3.00,A-,SI 670,No
Winter 2023,02059126,048514,WN 2023,WELLNESS,512,002,Regular,Recitation,Yoga Performers,1.00,A,WELLNESS 512,Yes
Winter 2023,02059126,048539,WN 2023,EECS,409,001,Regular,Seminar,Data Science Sem,1.00,S,EECS 409,Yes
Winter 2023,02059126,049601,FA 2022,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A+,SI 564,No
Winter 2023,02059126,050159,WN 2022,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A-,SI 579,No
Winter 2023,02059126,050164,FA 2021,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A-,SI 504,No
Winter 2023,02059126,050663,WN 2022,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A,SI 568,No
Winter 2023,02180888,009732,FA 2022,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,A,SI 650,No
Winter 2023,02180888,017281,FA 2021,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2023,02180888,020934,FA 2022,SI,649,001,Regular,Lecture,Info Visualization,3.00,A-,SI 649,No
Winter 2023,02180888,039178,FA 2021,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2023,02180888,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,02180888,041626,FA 2021,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2023,02180888,042091,WN 2022,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A,SI 618,No
Winter 2023,02180888,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,02180888,045930,FA 2022,SI,671,001,Regular,Lecture,Data Mining,3.00,A-,SI 671,No
Winter 2023,02180888,047246,WN 2023,SI,506,001,Regular,Lecture,Programming I,3.00,A-,SI 506,No
Winter 2023,02180888,047640,FA 2021,SI,507,001,Regular,Lecture,Inter Programming,3.00,A,SI 507,No
Winter 2023,02180888,047901,WN 2023,SI,699,005,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2023,02180888,049601,WN 2022,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2023,02180888,050159,FA 2021,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A+,SI 579,No
Winter 2023,02180888,050164,WN 2022,SI,504,001,Regular,Lecture,"Servers, Shell,&Git",1.50,A,SI 504,No
Winter 2023,02180888,050663,WN 2022,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A,SI 568,No
Winter 2023,02591080,001459,FA 2022,SI,690,410,Regular,Seminar,Intern/Field Exper,6.00,S,SI 690,No
Winter 2023,02591080,009732,FA 2021,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,A+,SI 650,No
Winter 2023,02591080,020371,WN 2022,EECS,494,002,Regular,Lecture,Comp Game Design,4.00,A,EECS 494,Yes
Winter 2023,02591080,039178,FA 2021,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2023,02591080,041626,FA 2021,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2023,02591080,041934,FA 2022,SI,608,001,Regular,Lecture,Networks,3.00,A,SI 608,No
Winter 2023,02591080,042091,FA 2021,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A+,SI 618,No
Winter 2023,02591080,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,02591080,045930,FA 2022,SI,671,001,Regular,Lecture,Data Mining,3.00,A-,SI 671,No
Winter 2023,02591080,047901,WN 2023,SI,699,005,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2023,02591080,048129,WN 2023,SI,505,001,First 7 Wk,Lecture,Career/Intern Studio,1.00,S,SI 505,No
Winter 2023,02591080,048268,WN 2022,SI,630,001,Regular,Lecture,NLP Algorithm People,3.00,A+,SI 630,No
Winter 2023,02591080,048500,FA 2022,SI,670,001,Regular,Lecture,Appld Machine Learng,3.00,A-,SI 670,No
Winter 2023,02591080,049601,FA 2022,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2023,02591080,050159,WN 2022,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A+,SI 579,No
Winter 2023,02591080,050663,WN 2022,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A,SI 568,No
Winter 2023,03088137,001459,FA 2022,SI,690,390,Regular,Seminar,Intern/Field Exper,6.00,S,SI 690,No
Winter 2023,03088137,009732,FA 2022,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,B,SI 650,No
Winter 2023,03088137,022099,WN 2023,SI,658,001,Regular,Lecture,Info Architecture,3.00,A,SI 658,No
Winter 2023,03088137,039368,WN 2023,SI,627,001,Regular,Lecture,Managing IT,3.00,A,SI 627,No
Winter 2023,03088137,042104,FA 2022,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,03088137,045930,FA 2022,SI,671,001,Regular,Lecture,Data Mining,3.00,B+,SI 671,No
Winter 2023,03088137,047901,WN 2023,SI,699,205,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2023,03088137,048500,FA 2022,SI,670,001,Regular,Lecture,Appld Machine Learng,3.00,A-,SI 670,No
Winter 2023,03088137,049601,WN 2023,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2023,03476616,001634,FA 2022,ENGLISH,464,001,Regular,Recitation,Stdy Indi Authors,3.00,A,ENGLISH 464,Yes
Winter 2023,03476616,009731,FA 2021,SI,580,001,Regular,Lecture,Records & Archives,3.00,A+,SI 580,No
Winter 2023,03476616,021042,FA 2022,SI,647,001,Regular,Lecture,Info Resources&Serv,3.00,A+,SI 647,No
Winter 2023,03476616,021045,FA 2021,SI,666,001,Regular,Lecture,Org of Inf Resources,3.00,A,SI 666,No
Winter 2023,03476616,022326,WN 2022,SI,581,001,Regular,Lecture,Pres Info Resources,3.00,A+,SI 581,No
Winter 2023,03476616,038630,WN 2023,HISTORY,472,001,Regular,Seminar,Asian History Topics,3.00,A+,HISTORY 472,Yes
Winter 2023,03476616,038948,FA 2022,SI,632,001,Regular,Lecture,Appraisal & Coll Dev,3.00,A,SI 632,No
Winter 2023,03476616,039979,WN 2022,SI,623,001,Regular,Seminar,Res Meth Info Prof,3.00,A+,SI 623,No
Winter 2023,03476616,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,03476616,042104,FA 2022,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A+,SI 501,No
Winter 2023,03476616,042954,WN 2023,MUSEUMS,401,001,Regular,Seminar,Issues in Museums,3.00,A,MUSEUMS 401,Yes
Winter 2023,03476616,047246,FA 2021,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2023,03476616,047901,WN 2023,SI,699,028,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2023,03476616,048280,WN 2022,SI,667,001,Regular,Lecture,Digital Curation,3.00,A,SI 667,No
Winter 2023,03476616,050162,WN 2022,SI,510,001,Regular,Lecture,Information Ethics,3.00,A+,SI 510,No
Winter 2023,03476616,050163,FA 2022,SI,633,001,Regular,Lecture,Assesmnt Cultrl Inst,3.00,A,SI 633,No
Winter 2023,03548176,017281,FA 2021,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2023,03548176,017525,WN 2023,BL,510,001,First 7 Wk,Recitation,Negot&Disp Res,2.25,A,BL 510,Yes
Winter 2023,03548176,017858,WN 2023,ES,569,001,Scnd 7 Wk,Recitation,Leading High Growth,1.50,A-,ES 569,Yes
Winter 2023,03548176,018623,WN 2023,SOC,575,001,Regular,Seminar,Health & Health Care,3.00,A,SOC 575,Yes
Winter 2023,03548176,021050,WN 2022,SI,691,114,Regular,Ind Study,Independent Study,2.00,A,SI 691,No
Winter 2023,03548176,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,03548176,041985,FA 2021,SI,542,001,Regular,Lecture,Intro Health Infor,3.00,A+,SI 542,No
Winter 2023,03548176,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A+,SI 501,No
Winter 2023,03548176,043210,FA 2022,SI,534,001,Regular,Lecture,Theories Soc Influen,3.00,A+,SI 534,No
Winter 2023,03548176,043241,FA 2022,SI,657,001,Regular,Lecture,Info Tech and Inter,3.00,A,SI 657,No
Winter 2023,03548176,045732,WN 2022,SI,554,001,Regular,Lecture,Consumer Hlth Inform,3.00,A,SI 554,No
Winter 2023,03548176,047641,WN 2022,SI,540,001,Regular,Lecture,Privacy in Info Tech,3.00,A,SI 540,No
Winter 2023,03548176,048488,FA 2021,SI,559,002,Regular,Lecture,AR/VR Intro,3.00,A+,SI 559,No
Winter 2023,03548176,049040,WN 2023,SI,698,003,Regular,Seminar,Master's Thesis 2,3.00,A,SI 698,No
Winter 2023,03548176,049365,FA 2022,SI,697,003,Regular,Ind Study,Master's Thesis 1,3.00,S,SI 697,No
Winter 2023,03548176,050162,WN 2022,SI,510,001,Regular,Lecture,Information Ethics,3.00,A+,SI 510,No
Winter 2023,03548176,050659,WN 2023,BE,708,802,First 7 Wk,Recitation,Health Care Markets,1.50,B,BE 708,Yes
Winter 2023,03548176,050705,WN 2022,SI,719,001,Regular,Lecture,Science Tech&Med,3.00,A,SI 719,No
Winter 2023,03548176,050846,FA 2022,SI,512,001,Regular,Lecture,Change The Internet,3.00,A,SI 512,No
Winter 2023,03846505,005040,WN 2023,ECON,102,200,Regular,Lecture,Principle Econ II,4.00,A-,ECON 102,Yes
Winter 2023,03846505,009732,FA 2021,SI,650,001,Regular,Lecture,Informatn Retrieval,3.00,A+,SI 650,No
Winter 2023,03846505,020371,WN 2022,EECS,494,002,Regular,Lecture,Comp Game Design,4.00,A+,EECS 494,Yes
Winter 2023,03846505,021033,WN 2023,SI,652,001,Regular,Lecture,Incentive&Strategic,3.00,B-,SI 652,No
Winter 2023,03846505,039178,WN 2022,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2023,03846505,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,03846505,041626,FA 2021,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2023,03846505,042071,FA 2021,SI,563,001,Regular,Lecture,Game Theory,3.00,A,SI 563,No
Winter 2023,03846505,042091,FA 2021,SI,618,001,Regular,Lecture,Data Man & Analysis,3.00,A,SI 618,No
Winter 2023,03846505,042104,FA 2021,SI,501,002,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,03846505,045930,FA 2022,SI,671,001,Regular,Lecture,Data Mining,3.00,A-,SI 671,No
Winter 2023,03846505,047901,WN 2023,SI,699,005,Regular,Lecture,MSI Mastery Courses,3.00,A+,SI 699,No
Winter 2023,03846505,048268,WN 2022,SI,630,001,Regular,Lecture,NLP Algorithm People,3.00,A,SI 630,No
Winter 2023,03846505,048500,FA 2022,SI,670,001,Regular,Lecture,Appld Machine Learng,3.00,A-,SI 670,No
Winter 2023,03846505,049601,FA 2021,SI,564,001,Regular,Lecture,SQL & Databases,1.50,A,SI 564,No
Winter 2023,03846505,050159,FA 2022,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A,SI 579,No
Winter 2023,03846505,050663,WN 2022,SI,568,001,Regular,Lecture,Intro Appld Data Sci,3.00,A,SI 568,No
Winter 2023,04192676,017281,FA 2021,SI,588,001,Regular,Lecture,Fundamntls Hum Beh,3.00,A+,SI 588,No
Winter 2023,04192676,019903,FA 2022,TO,548,001,Regular,Recitation,Integ Pro Dev,3.00,A,TO 548,Yes
Winter 2023,04192676,020379,FA 2022,IOE,548,001,Regular,Lecture,Int Prod Dev,3.00,A,IOE 548,Yes
Winter 2023,04192676,020401,WN 2022,SI,622,003,Regular,Lecture,Usab Eval & Needs,4.00,A,SI 622,No
Winter 2023,04192676,021400,WN 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,A-,SI 520,No
Winter 2023,04192676,039178,FA 2021,SI,539,001,Regular,Lecture,Web Design,3.00,A,SI 539,No
Winter 2023,04192676,041626,WN 2022,SI,664,001,Regular,Lecture,Database App Design,3.00,A,SI 664,No
Winter 2023,04192676,041855,FA 2022,SI,631,001,Regular,Lecture,Agile Softwar Dev,1.50,A,SI 631,No
Winter 2023,04192676,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,04192676,042324,WN 2022,SI,639,001,Scnd 7 Wk,Lecture,Web Archiving,1.50,A+,SI 639,No
Winter 2023,04192676,043863,WN 2022,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A+,SI 612,No
Winter 2023,04192676,044772,FA 2021,SI,582,002,Regular,Lecture,Intro Interac Design,3.00,A,SI 582,No
Winter 2023,04192676,045393,FA 2022,SI,552,001,Regular,Lecture,Accessibility Intro,3.00,A-,SI 552,No
Winter 2023,04192676,047901,WN 2023,SI,699,003,Regular,Lecture,MSI Mastery Courses,3.00,A,SI 699,No
Winter 2023,04192676,049038,WN 2022,SI,688,001,Regular,Lecture,AppProjS S -GIEP/CID,6.00,S,SI 688,No
Winter 2023,04192676,050159,FA 2022,SI,579,001,Regular,Lecture,Bldg Interactive App,3.00,A-,SI 579,No
Winter 2023,04539435,017281,FA 2022,SI,588,002,Regular,Lecture,Fundamntls Hum Beh,3.00,A,SI 588,No
Winter 2023,04539435,017533,FA 2022,MO,512,005,Scnd 7 Wk,Recitation,Bargain&Infl Skills,2.25,B,MO 512,Yes
Winter 2023,04539435,020401,FA 2021,SI,622,001,Regular,Lecture,Usab Eval & Needs,4.00,A+,SI 622,No
Winter 2023,04539435,021400,WN 2022,SI,520,001,Regular,Lecture,Graphic Design,3.00,A-,SI 520,No
Winter 2023,04539435,022099,WN 2022,SI,658,001,Regular,Lecture,Info Architecture,3.00,A+,SI 658,No
Winter 2023,04539435,039178,WN 2022,SI,539,001,Regular,Lecture,Web Design,3.00,B,SI 539,No
Winter 2023,04539435,040667,WN 2022,SI,681,001,Regular,Seminar,Intern/Field Seminar,6.00,S,SI 681,No
Winter 2023,04539435,041985,FA 2022,SI,542,001,Regular,Lecture,Intro Health Infor,3.00,A-,SI 542,No
Winter 2023,04539435,042104,FA 2021,SI,501,001,Regular,Lecture,Contextual Inq,3.00,A,SI 501,No
Winter 2023,04539435,043863,WN 2022,SI,612,001,Regular,Lecture,Pervasv Interact Des,3.00,A,SI 612,No
Winter 2023,04539435,044772,FA 2021,SI,582,001,Regular,Lecture,Intro Interac Design,3.00,A+,SI 582,No
Winter 2023,04539435,046306,FA 2022,SI,616,001,Regular,Lecture,Adv Graphic Design,3.00,A-,SI 616,No
Winter 2023,04539435,047246,FA 2021,SI,506,001,Regular,Lecture,Programming I,3.00,A,SI 506,No
Winter 2023,04539435,047901,WN 2023,SI,699,201,Regular,Lecture,MSI Mastery Courses,3.00,A-,SI 699,No
Winter 2023,04539435,049417,WN 2022,BA,670,001,Regular,Recitation,+Impact Studio,3.00,B,BA 670,Yes
